"","Var1","Var2","value"
"126","current_ratio","equity_turnnover",-0.307521807747651
"127","quick_rartio","equity_turnnover",0.103947701670074
"128","debt_ratio","equity_turnnover",0.601972881355696
"129","roe","rev_growth_rate",0.178890323350809
"130","roa","rev_growth_rate",0.182344012908911
"131","profit_margin_rate","rev_growth_rate",0.112338020002733
"132","gross_margin_rate","rev_growth_rate",-0.049016229086972
"133","expense_rate","rev_growth_rate",-0.142296865482896
"134","asset_turnover","rev_growth_rate",0.641837235579735
"135","inventory_turnover","rev_growth_rate",0.238834411078361
"136","equity_turnnover","rev_growth_rate",0.352674052067227
"137","rev_growth_rate","rev_growth_rate",1
"138","margin_growth_rate","rev_growth_rate",0.34836925736233
"139","op_profit_growth_rate","rev_growth_rate",0.171276594019059
"140","cash_reinv_rate","rev_growth_rate",-0.0192407568216
"141","asset_growth_rate","rev_growth_rate",0.354016267635971
"142","current_ratio","rev_growth_rate",-0.00141601981074553
"143","quick_rartio","rev_growth_rate",-0.0793996107275874
"144","debt_ratio","rev_growth_rate",-0.00681367223804653
"145","roe","margin_growth_rate",0.0423719956373313
"146","roa","margin_growth_rate",0.0252565080268641
"147","profit_margin_rate","margin_growth_rate",0.00879782440201563
"148","gross_margin_rate","margin_growth_rate",-0.0335227938826715
"149","expense_rate","margin_growth_rate",-0.024184436450584
"150","asset_turnover","margin_growth_rate",0.0916555028540266
"151","inventory_turnover","margin_growth_rate",-0.00997591864970126
"152","equity_turnnover","margin_growth_rate",0.0309263574109894
"153","rev_growth_rate","margin_growth_rate",0.34836925736233
"154","margin_growth_rate","margin_growth_rate",1
"155","op_profit_growth_rate","margin_growth_rate",0.387781287362987
"156","cash_reinv_rate","margin_growth_rate",0.0485771684921729
"157","asset_growth_rate","margin_growth_rate",0.0877078336076028
"158","current_ratio","margin_growth_rate",-0.00623095511199432
"159","quick_rartio","margin_growth_rate",-0.0915511740594344
"160","debt_ratio","margin_growth_rate",-0.053638320063443
"161","roe","op_profit_growth_rate",0.070655719737964
"162","roa","op_profit_growth_rate",0.0481880240850674
"163","profit_margin_rate","op_profit_growth_rate",0.0661701602618203
"164","gross_margin_rate","op_profit_growth_rate",-0.00707197285547741
"165","expense_rate","op_profit_growth_rate",-0.0503921317840477
"166","asset_turnover","op_profit_growth_rate",0.0630084242236634
"167","inventory_turnover","op_profit_growth_rate",0.0448243491524549
"168","equity_turnnover","op_profit_growth_rate",0.0093013465263942
"169","rev_growth_rate","op_profit_growth_rate",0.171276594019059
"170","margin_growth_rate","op_profit_growth_rate",0.387781287362987
"171","op_profit_growth_rate","op_profit_growth_rate",1
"172","cash_reinv_rate","op_profit_growth_rate",0.168404677508976
"173","asset_growth_rate","op_profit_growth_rate",0.0868161404424252
"174","current_ratio","op_profit_growth_rate",0.0513916463745697
"175","quick_rartio","op_profit_growth_rate",-0.114983302310953
"176","debt_ratio","op_profit_growth_rate",0.00121356918469988
"177","roe","cash_reinv_rate",0.518422290791974
"178","roa","cash_reinv_rate",0.504324078456767
"179","profit_margin_rate","cash_reinv_rate",0.477952502935413
"180","gross_margin_rate","cash_reinv_rate",0.133866359895467
"181","expense_rate","cash_reinv_rate",-0.368825761310214
"182","asset_turnover","cash_reinv_rate",-0.0230468729344582
"183","inventory_turnover","cash_reinv_rate",0.0590598820807014
"184","equity_turnnover","cash_reinv_rate",-0.024636040745522
"185","rev_growth_rate","cash_reinv_rate",-0.0192407568216
"186","margin_growth_rate","cash_reinv_rate",0.0485771684921729
"187","op_profit_growth_rate","cash_reinv_rate",0.168404677508976
"188","cash_reinv_rate","cash_reinv_rate",1
"189","asset_growth_rate","cash_reinv_rate",0.0564320193074854
"190","current_ratio","cash_reinv_rate",0.0128491505941388
"191","quick_rartio","cash_reinv_rate",-0.0707379080044122
"192","debt_ratio","cash_reinv_rate",0.0115149838488452
"193","roe","asset_growth_rate",0.366727395586673
"194","roa","asset_growth_rate",0.388442882343791
"195","profit_margin_rate","asset_growth_rate",0.300383311098355
"196","gross_margin_rate","asset_growth_rate",0.198336670769808
"197","expense_rate","asset_growth_rate",-0.159527068804307
"198","asset_turnover","asset_growth_rate",0.248302838112533
"199","inventory_turnover","asset_growth_rate",0.136004622694254
"200","equity_turnnover","asset_growth_rate",0.148192161328289
"201","rev_growth_rate","asset_growth_rate",0.354016267635971
"202","margin_growth_rate","asset_growth_rate",0.0877078336076028
"203","op_profit_growth_rate","asset_growth_rate",0.0868161404424252
"204","cash_reinv_rate","asset_growth_rate",0.0564320193074854
"205","asset_growth_rate","asset_growth_rate",1
"206","current_ratio","asset_growth_rate",-0.160141279560531
"207","quick_rartio","asset_growth_rate",-0.204414040890963
"208","debt_ratio","asset_growth_rate",0.103780567529082
"209","roe","current_ratio",0.00161885252532689
"210","roa","current_ratio",0.010373006903173
"211","profit_margin_rate","current_ratio",0.0696681707123668
"212","gross_margin_rate","current_ratio",0.230233217830738
"213","expense_rate","current_ratio",0.0778667983815145
"214","asset_turnover","current_ratio",-0.0750607428131442
"215","inventory_turnover","current_ratio",-0.136409232041581
"216","equity_turnnover","current_ratio",-0.307521807747651
"217","rev_growth_rate","current_ratio",-0.00141601981074553
"218","margin_growth_rate","current_ratio",-0.00623095511199432
"219","op_profit_growth_rate","current_ratio",0.0513916463745697
"220","cash_reinv_rate","current_ratio",0.0128491505941388
"221","asset_growth_rate","current_ratio",-0.160141279560531
"222","current_ratio","current_ratio",1
"223","quick_rartio","current_ratio",0.431766636888003
"224","debt_ratio","current_ratio",-0.583622429647986
"225","roe","quick_rartio",-0.178525536129484
"226","roa","quick_rartio",-0.133926962915792
"227","profit_margin_rate","quick_rartio",-0.0944155378729775
"228","gross_margin_rate","quick_rartio",-0.0281893801207302
"229","expense_rate","quick_rartio",0.0710954660778439
"230","asset_turnover","quick_rartio",0.058653194122709
"231","inventory_turnover","quick_rartio",-0.109633375937031
"232","equity_turnnover","quick_rartio",0.103947701670074
"233","rev_growth_rate","quick_rartio",-0.0793996107275874
"234","margin_growth_rate","quick_rartio",-0.0915511740594344
"235","op_profit_growth_rate","quick_rartio",-0.114983302310953
"236","cash_reinv_rate","quick_rartio",-0.0707379080044122
"237","asset_growth_rate","quick_rartio",-0.204414040890963
"238","current_ratio","quick_rartio",0.431766636888003
"239","quick_rartio","quick_rartio",1
"240","debt_ratio","quick_rartio",-0.125850234871355
"241","roe","debt_ratio",-0.125853365081838
"242","roa","debt_ratio",-0.0535872922037833
"243","profit_margin_rate","debt_ratio",0.0344958693820607
"244","gross_margin_rate","debt_ratio",-0.430506955752228
"245","expense_rate","debt_ratio",-0.302511261248173
"246","asset_turnover","debt_ratio",0.251226467665838
"247","inventory_turnover","debt_ratio",0.193927223237436
"248","equity_turnnover","debt_ratio",0.601972881355696
"249","rev_growth_rate","debt_ratio",-0.00681367223804653
"250","margin_growth_rate","debt_ratio",-0.053638320063443
"251","op_profit_growth_rate","debt_ratio",0.00121356918469988
"252","cash_reinv_rate","debt_ratio",0.0115149838488452
"253","asset_growth_rate","debt_ratio",0.103780567529082
"254","current_ratio","debt_ratio",-0.583622429647986
"255","quick_rartio","debt_ratio",-0.125850234871355
"256","debt_ratio","debt_ratio",1
